source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,phot_g_mean_mag
3654496279558010624,215.81468026516512,1.2394413528832344,347.16324393615776,56.014748821136166,57.27057989858388,0.037523143,1526.2736,223.53142956437674,0.04835123,-478.2748533208476,0.031127062,-19.208466,0.13645539,2016.0,6.092967
3758629475341196672,164.61574644090516,-10.775511452309788,263.28498510095795,43.231860703779645,68.96220001044249,0.037456892,1841.1084,-192.9989360730222,0.040630106,-83.96480579211722,0.032760724,10.374977,1.5903068,2016.0,12.75257
3774789959807192064,159.9158018299303,-6.924217819335643,254.99548678279172,43.35083118811872,64.19772887955008,0.022410598,2864.6147,-717.93552070627,0.021025531,-104.81845472732408,0.019432435,2.9263144,0.21710494,2016.0,10.270334
3830128624846458752,150.8276129940987,-1.0853472941312068,240.90191873841252,40.715463294252146,50.13719268088734,0.09504302,527.52106,-498.70601940999535,0.092023715,46.90028438187775,0.10225844,,,2016.0,16.527418
3840711729206827520,142.68324346444365,0.32022324371767896,233.42541416602512,34.92565877634165,100.90325241620975,0.02646633,3812.514,-569.0163126180901,0.029118592,-549.3860966014009,0.026069857,46.199398,0.16003974,2016.0,10.501792
3850237416912716928,149.7346148256968,5.966340551968416,232.26207381654615,43.903829246101765,66.48567490057262,0.023153808,2871.479,-180.66564657557555,0.028351149,-68.83650702286903,0.032730244,9.864261,4.5988455,2016.0,13.076926
3864972938605115520,164.10319030755974,7.002726940984864,244.05115057496633,56.09885280026159,415.17941567802137,0.06837086,6072.462,-3866.3382751436793,0.08130645,-2699.214987679166,0.06910815,,,2016.0,11.038391
3895876671408042496,178.04113449306163,3.9559459675936046,268.93886791829095,62.84769333784015,62.55383411494754,0.3680397,169.9649,70.9911454373661,0.42149937,-141.87660352137112,0.38769814,,,2016.0,11.782662
3978879594463300992,171.04909306103758,21.359804540978555,224.38621763611667,69.32617793101082,68.04195101183048,0.028807813,2361.927,-1037.89859423324,0.032390423,-17.107494410049725,0.030281857,,,2016.0,14.124896
4310275491469537152,283.8646200933993,8.402201722468257,40.87215714818142,2.933916759072396,89.90645523767196,0.026066944,3449.06,91.47788429458905,0.025704302,-69.0216378687386,0.025336597,,,2016.0,9.030238
4311982650767794176,283.5714196687941,10.969734789639295,43.03529219728869,4.353682055488793,53.83777188653757,0.024456363,2201.381,20.20888157734752,0.025341706,112.81611507892754,0.022912279,-25.294369,0.34627557,2016.0,12.362449
4364527594192166400,256.26005485188347,-5.071571994790812,15.360616412782683,20.892958560531234,95.56697122169996,0.024146535,3957.7922,-916.34292657201,0.025375895,-1138.7618906254847,0.018682174,34.121376,0.11919747,2016.0,7.2647023
4383790518216171264,250.02571538084769,0.7045342401421566,17.22503810900728,29.21741632486991,88.6929302568156,0.029005282,3057.82,175.79620639780794,0.033251427,-158.0057248741521,0.025178058,5.3557916,1.1490797,2016.0,12.179532
4405150047715392128,243.60495984709542,-2.848575653404131,9.673713900373862,32.669882281073114,68.94932895651257,0.08347323,826.0053,-7.808449018718265,0.082726166,367.40550337108414,0.06097727,,,2016.0,15.223379
4497414466452138496,274.2750771257661,13.468650786638403,41.279541720709155,13.614980514007962,66.11036115185362,0.043105718,1533.6796,-436.211602734623,0.036264557,-1115.5534172245984,0.039038893,,,2016.0,15.615121
4535928365908540416,280.2931336884971,24.787728362716255,54.28621769227729,13.141309255300516,100.68500426698174,0.021461897,4691.3374,505.34431691358935,0.017605638,87.04490459992638,0.020877514,,,2016.0,10.725493
4822636399484228224,79.34425241093663,-35.36592307249036,239.0591196501378,-33.607111140759194,85.45190598238578,0.28980097,294.8641,-219.38263643848123,0.3094183,-166.46812804185794,0.3316543,-1.9771314,1.0567693,2016.0,10.348972
4941774600386872960,28.211506635601257,-48.095754425177795,277.31063566332875,-65.86342976357622,74.71020217629189,0.027554693,2711.3423,-515.8598232077916,0.023809984,-218.39945301853652,0.028063057,6.540948,0.41156486,2016.0,12.277165
4955395178633330432,24.681830363431764,-45.24667702813953,278.5186757192892,-69.57404832377229,59.70328723625286,0.015211136,3924.9722,-154.8770086869876,0.011257991,-75.7949302861648,0.014550799,22.245737,0.16889524,2016.0,9.880607
4970215770740383616,33.45437730374648,-33.75673655482725,238.45846057104842,-71.08960563938922,53.33253408289888,0.06488945,821.8984,173.2316391825422,0.0352515,361.63661801574955,0.051678494,,,2016.0,15.987268
4975284347548097152,11.424370322965071,-47.558161328122075,305.7032024058413,-69.53918822105969,66.57328719787061,0.026567774,2505.791,178.39980917743526,0.016906563,90.75733009405681,0.020887723,-10.7349825,0.6041077,2016.0,12.973417
4975284381907834752,11.435777957393372,-47.54849900150127,305.68297341460544,-69.5493201146658,66.8903036069997,0.13637795,490.47742,163.4432742433448,0.08091657,92.0289726082105,0.113521166,-11.069283,0.8730357,2016.0,12.203976
5047423236725995136,46.54737320915348,-36.800989381416464,240.2419736714899,-60.00994294100281,75.41841248498032,0.057961263,1301.1865,-172.16539079472486,0.049657423,-669.243912200385,0.057584766,,,2016.0,15.993678
5199087706000356096,161.90029628351041,-79.46369785139531,297.2561512171008,-17.98324535463845,69.81895733666657,0.016633052,4197.603,-448.26063366169643,0.021727758,-204.65813505484414,0.018653104,8.074224,0.33870348,2016.0,12.04221
5280944182024023552,107.21527304405794,-67.10914625950578,277.97448999678875,-23.18998721185643,58.961279631199595,0.030661715,1922.9609,-224.4880020519923,0.03824395,-93.83833759820459,0.041618116,,,2016.0,15.959545
5298809356198635520,139.1017447778146,-62.0682014478789,280.44333010046813,-8.99797497013312,51.91946805713727,0.020732777,2504.2214,-683.3653508748718,0.031903192,645.1988197149823,0.023368413,54.371983,0.20229438,2016.0,11.345583
5363990535794423680,159.56109739267328,-49.56488041280421,281.8696135672669,7.781619709156301,69.00754706273695,0.018107666,3810.9578,-317.5261300151766,0.017622886,-565.3362997837297,0.018816406,-0.9053696,0.56617147,2016.0,13.497718
5439029627401396096,146.491875412928,-32.89101863068049,263.81900284221325,15.548787015991058,83.24973178967333,0.037166633,2239.9053,-300.46074570478004,0.021562235,145.74188406059835,0.027414119,26.342226,13.212493,2016.0,12.407915
